,Profil,Région,Total énergie soutirée (Wh)
19,RES2 (+ RES5),Hauts-de-France,18490.736166792063
18,RES2 (+ RES5),Centre-Val de Loire,10618.75531297264
15,RES1 (+ RES1WE),Hauts-de-France,7875.725140465116
5,PRO1 (+ PRO1WE),Hauts-de-France,3701.4380545800277
17,RES11 (+ RES11WE),Hauts-de-France,3009.2599369548566
7,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,2868.897184608755
14,RES1 (+ RES1WE),Centre-Val de Loire,2810.4195092476057
16,RES11 (+ RES11WE),Centre-Val de Loire,2289.1021156634747
4,PRO1 (+ PRO1WE),Centre-Val de Loire,1731.4221083173736
6,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1500.3077668016417
13,PRO5,Hauts-de-France,1018.4431278508893
23,RES3,Hauts-de-France,475.1725214678522
21,RES2WE,Hauts-de-France,427.00143749110805
25,RES4,Hauts-de-France,417.77344212311897
12,PRO5,Centre-Val de Loire,380.3831309288646
24,RES4,Centre-Val de Loire,304.3843434774282
22,RES3,Centre-Val de Loire,302.34791678522566
20,RES2WE,Centre-Val de Loire,196.15606230232558
11,PRO4,Hauts-de-France,90.26892416005471
9,PRO3,Hauts-de-France,87.45401998905608
3,ENT3 (+ ENT4 + ENT5),Hauts-de-France,84.6908663009576
2,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,75.95780310533516
10,PRO4,Centre-Val de Loire,66.33463942270862
8,PRO3,Centre-Val de Loire,61.6710728495212
1,ENT1 (+ ENT2),Hauts-de-France,0.0
0,ENT1 (+ ENT2),Centre-Val de Loire,0.0
